date,vader,textblob
2018-04-24,0.6369,0.0
2018-04-25,0.0,0.0
2018-04-26,0.8506,0.5214285714285715
2018-04-27,-0.5106,0.05
2018-04-28,0.0,0.0
2018-04-29,0.5499,0.18666666666666668
2018-05-01,0.11820000000000003,0.5162878787878789
2018-05-02,0.2263,0.024999999999999994
2018-05-03,0.228,0.4642857142857143
2018-05-04,-0.136,-0.06607142857142861
2018-05-06,-0.1376,0.08333333333333334
2018-05-07,0.3818,0.0
2018-05-09,0.8148,0.0
2018-05-10,0.6369,0.5
2018-05-11,0.9563,0.4444444444444444
2018-05-12,0.0,0.041666666666666664
2018-05-13,0.3612,0.0
2018-05-14,0.3182,0.2778409090909091
2018-05-15,-0.2015999999999999,-0.03888888888888886
2018-05-16,0.2732,0.06818181818181818
2018-05-17,0.0,0.13636363636363635
2018-05-19,0.765,0.3
2018-05-20,0.3612,-0.35285714285714287
2018-05-21,1.4029,0.2375
2018-05-22,1.0496,0.1868927368927369
2018-05-23,0.6728,0.7315909090909092
2018-05-24,4.728400000000001,3.262011784511784
2018-05-25,1.1612,0.10972222222222222
2018-05-26,0.0,0.3181818181818182
2018-05-27,0.1779,0.1
2018-05-28,0.6794,0.1625
2018-05-29,-0.5012,0.2455079365079364
2018-05-30,2.0725,1.1944949494949495
2018-06-01,0.6249,0.012499999999999997
2018-06-02,0.34,-0.04166666666666666
2018-06-03,0.0,0.0
2018-06-04,2.5296,0.43904761904761913
2018-06-05,1.7205000000000001,0.8319444444444444
2018-06-06,2.1284,0.39462321628988306
2018-06-07,0.4215,0.55
2018-06-09,-0.5327999999999999,0.12943722943722943
2018-06-10,-0.39540000000000003,0.4666666666666667
2018-06-11,0.0,-0.15000000000000002
2018-06-12,-0.12729999999999997,0.8916666666666667
2018-06-13,2.1577,2.9950505050505054
2018-06-14,1.224,1.4557922077922076
2018-06-15,0.047599999999999865,0.9113636363636364
2018-06-16,0.0,0.3181818181818182
2018-06-17,0.0,0.16818181818181818
2018-06-18,-0.5472,0.0
2018-06-19,2.7228,0.005364598364598405
2018-06-20,2.1093,0.6623060966810966
2018-06-21,-0.24290000000000012,0.31815151515151513
2018-06-22,-0.24929999999999997,0.7995000000000001
2018-06-23,0.0,0.0
2018-06-24,0.5106,0.14444444444444443
2018-06-25,2.0796,0.5358465608465609
2018-06-26,-0.4727,0.23354978354978365
2018-06-27,0.4215,0.3372727272727273
2018-06-28,0.2732,-0.11363636363636365
2018-06-29,4.036,1.263472222222222
2018-06-30,0.4387,1.3877787807814457e-17
2018-07-01,0.0,0.0
2018-07-02,0.8936,1.072857142857143
2018-07-05,0.19619999999999999,0.8
2018-07-06,3.2509999999999994,1.3421428571428573
2018-07-07,0.4364,0.6499999999999999
2018-07-08,1.6721,0.3333333333333333
2018-07-09,1.1234,0.2025
2018-07-10,0.9922,0.4
2018-07-11,1.5973000000000002,1.2351515151515151
2018-07-12,-0.41069999999999995,0.12888888888888886
2018-07-13,-0.6444,-0.019999999999999997
2018-07-14,0.0,0.0
2018-07-15,2.1524,1.1958333333333333
2018-07-16,6.495900000000001,3.7236177248677245
2018-07-17,8.780700000000003,5.160265151515152
2018-07-18,1.1593,0.7823593073593074
2018-07-19,0.4233999999999999,0.0013888888888888735
2018-07-20,0.6120999999999999,-1.4401515151515152
2018-07-21,-0.13770000000000002,0.5
2018-07-22,0.4062,0.74375
2018-07-23,2.7322999999999995,0.4942550505050505
2018-07-24,2.1657,2.1378306878306876
2018-07-25,0.4458,0.3257034632034632
2018-07-26,1.7584999999999997,0.48226911976911974
2018-07-27,0.9341999999999998,0.741468253968254
2018-07-28,-0.128,-0.06547619047619048
2018-07-30,0.5760000000000001,0.15319865319865317
2018-07-31,0.3083,-0.14490740740740743
2018-08-01,0.5343,0.1181818181818182
2018-08-03,0.0,0.0
2018-08-05,0.2883,0.02666666666666667
2018-08-06,0.4019,0.6
2018-08-08,0.9786999999999999,-0.15000000000000002
2018-08-09,0.2926,0.20297619047619048
2018-08-10,0.7205,0.6907407407407408
2018-08-11,-0.2263,0.059126984126984104
2018-08-12,-0.3347,0.4166666666666667
2018-08-13,0.1779,-0.10370370370370373
2018-08-14,0.6801,0.20833333333333334
2018-08-15,-0.6705,0.13628205128205123
2018-08-16,0.8334999999999999,0.7007575757575758
2018-08-17,0.7961,-0.5136363636363637
2018-08-18,0.23069999999999996,0.2833333333333333
2018-08-19,-0.296,0.0
2018-08-20,0.4019,0.0
2018-08-21,1.1312,0.2396825396825397
2018-08-22,0.5549999999999999,0.1
2018-08-23,2.2805,0.375
2018-08-24,0.3328,0.6752164502164502
2018-08-26,0.3612,0.0
2018-08-27,0.5432,0.03441558441558441
2018-08-28,0.6249,0.8
2018-08-29,2.2987,1.0166666666666666
2018-08-30,0.1775,0.62
2018-08-31,-0.1531,0.08333333333333333
2018-09-01,0.8115,0.5
2018-09-02,0.3612,-0.125974025974026
2018-09-03,1.6153,0.25742424242424244
2018-09-04,-0.3182,-0.25
2018-09-05,1.5584,0.41111111111111104
2018-09-06,0.9767999999999999,0.04226190476190478
2018-09-07,-0.3062,0.0
2018-09-08,0.2732,0.20800000000000002
2018-09-09,0.0,0.0
2018-09-10,-0.7051000000000001,-0.31339285714285714
2018-09-11,-0.4767,0.11
2018-09-12,0.8166,0.39974747474747463
2018-09-13,0.2648,0.2
2018-09-14,0.2235,0.075
2018-09-15,1.2058,1.018181818181818
2018-09-16,0.34,0.0
2018-09-17,-0.08489999999999998,0.16527777777777775
2018-09-18,2.0839999999999996,0.5735435992578849
