date,vader,textblob
2018-01-02,1.353,0.6136111111111111
2018-01-03,1.0734,1.4310064935064937
2018-01-04,0.30809999999999993,0.3452380952380953
2018-01-05,0.5574,0.8
2018-01-06,0.39110000000000006,0.5247727272727273
2018-01-08,0.128,0.6
2018-01-09,0.8268,0.26666666666666666
2018-01-10,0.3802,0.125
2018-01-11,-0.11179999999999995,-0.10000000000000003
2018-01-12,0.2732,0.18888888888888888
2018-01-16,0.34,0.0
2018-01-18,0.9543,0.41175595238095236
2018-01-19,0.0,0.19318181818181818
2018-01-20,0.4767,-0.6
2018-01-23,1.6461,1.7309523809523808
2018-01-24,0.6993,0.13
2018-01-25,-0.0258,-0.2
2018-01-26,0.9329000000000001,0.6111111111111112
2018-01-30,0.0,0.625
2018-01-31,0.34,0.13636363636363635
2018-02-01,1.1702,-0.6594696969696969
2018-02-02,1.1573000000000002,-0.010714285714285718
2018-02-05,0.296,0.0
2018-02-06,0.48319999999999996,0.2340909090909091
2018-02-12,0.6369,0.0
2018-02-13,-0.1027,0.0
2018-02-14,0.0743,0.25
2018-02-15,0.873,-0.16666666666666666
2018-02-16,0.296,0.4
2018-02-17,0.0,0.0
2018-02-19,0.2023,0.5
2018-02-20,-0.9231,-0.42333333333333334
2018-02-21,0.0,0.0
2018-02-22,0.5859,0.0
2018-02-23,-0.2732,1.0
2018-02-27,-0.4139,0.011904761904761918
2018-02-28,-0.6486,0.0
2018-03-01,0.6018999999999998,1.1814814814814816
2018-03-02,0.0,0.0
2018-03-03,0.2924,0.0
2018-03-04,0.743,0.42500000000000004
2018-03-05,0.3612,0.0
2018-03-06,0.0464,0.0
2018-03-07,0.5472,0.5214285714285715
2018-03-08,-0.4588,0.0
2018-03-09,0.4767,0.5
2018-03-10,0.7906,0.7
2018-03-12,0.0727000000000001,0.08484848484848484
2018-03-13,0.0,0.0
2018-03-14,0.3182,0.20000000000000004
2018-03-15,0.0,0.0
2018-03-16,1.1401,-0.03333333333333338
2018-03-17,-0.5267,0.0
2018-03-18,1.4907,-0.23076923076923078
2018-03-19,-0.11519999999999997,-0.11250000000000004
2018-03-23,0.0,0.0
2018-03-24,0.0,0.0
2018-03-26,-0.0516,0.0
2018-03-27,1.5847,0.1625
2018-03-28,-1.4924,0.2833333333333333
2018-03-29,-0.3182,-0.175
2018-03-30,1.5022,0.585
2018-04-02,0.09199999999999997,0.20327380952380947
2018-04-03,-1.0339,-0.2333333333333333
2018-04-04,-1.1903000000000001,-0.325
2018-04-06,-0.802,-0.1
2018-04-07,0.0,0.0
2018-04-09,0.6543,0.16666666666666666
2018-04-10,0.7224,-0.02777777777777779
2018-04-11,0.5106,0.0
2018-04-12,0.7837,1.0
2018-04-13,0.1779,-0.08333333333333333
2018-04-19,-0.1713,-0.0031122448979591863
2018-04-20,-0.2716,0.16666666666666666
2018-04-22,0.657,0.5
2018-04-23,1.4980000000000002,1.383333333333333
2018-04-24,0.8235999999999999,0.14242424242424243
2018-04-27,0.6851,0.45232323232323235
2018-04-28,-0.03510000000000002,0.55
2018-04-29,0.7184,0.0
2018-05-01,0.25,0.0
2018-05-02,0.7267,-0.10833333333333334
2018-05-04,-0.17489999999999994,0.08333333333333334
2018-05-05,0.7501,0.48750000000000004
2018-05-06,0.0,0.303030303030303
2018-05-08,-0.3746,0.044696969696969686
2018-05-09,0.3182,0.24318181818181817
2018-05-12,-0.1027,0.11944444444444445
2018-05-18,0.4588,0.25
2018-05-19,-0.0475,-1.0
2018-05-25,0.0,0.0
2018-05-29,-0.5994,0.14069264069264067
2018-06-01,0.2614,0.5333333333333333
2018-06-02,0.0,0.0
2018-06-03,0.1779,0.0
2018-06-04,-0.6249,-0.25
2018-06-06,0.0,0.3308641975308642
2018-06-07,0.5895,0.35
2018-06-08,0.0,0.0
2018-06-12,0.0,0.0
2018-06-13,0.5267,0.25
2018-06-14,0.0,0.0
2018-06-15,0.5859,0.0
2018-06-16,-0.2337,-0.013333333333333308
2018-06-18,-1.0578,0.7142857142857143
2018-06-19,1.225,0.4732142857142857
2018-06-20,0.0,0.0
2018-06-21,-0.34,0.2
2018-06-22,0.8367,0.07777777777777778
2018-06-23,0.2584,0.0
2018-07-06,0.0,0.0
2018-07-16,0.2732,0.21666666666666667
2018-07-19,-0.1027,0.0
2018-07-20,1.7992,0.6541666666666667
2018-07-22,0.0,0.2727272727272727
2018-07-23,0.1749,0.9152597402597402
2018-07-26,0.122,0.25
2018-07-27,1.2614999999999998,0.6275793650793651
2018-07-28,1.4449999999999998,0.6166666666666667
2018-07-30,0.6718,-0.3125
2018-07-31,0.0,0.0
2018-08-01,0.1362,0.2675865800865801
2018-08-02,-0.6808,-0.6
2018-08-03,0.0,0.0
2018-08-05,0.1779,0.0
2018-08-06,0.9764,0.0
2018-08-07,0.4588,0.8
2018-08-08,0.7419,0.13333333333333336
2018-08-09,0.5349,1.2
2018-08-10,-0.29919999999999997,-0.2
2018-08-11,-0.4767,-0.26363636363636367
2018-08-12,0.954,0.5571428571428572
2018-08-14,0.0,0.0
2018-08-15,-0.010400000000000003,0.4279487179487179
2018-08-24,0.6183000000000001,0.5
2018-08-31,0.34,0.0
2018-09-02,-0.5553,-0.022727272727272728
2018-09-03,0.9532,0.45
2018-09-04,-0.3186,0.42000000000000004
2018-09-05,0.3637,0.5
2018-09-06,-0.2732,0.03333333333333333
2018-09-07,0.0,-0.15555555555555559
2018-09-08,0.0,0.5
2018-09-10,0.0,0.0
2018-09-11,0.2263,0.11249999999999999
2018-09-12,0.3947,0.3232323232323232
